,time,province,city,cum_confirm,cum_heal,cum_dead,suspected
1,1/12/2019,Hubei,Wuhan,1,0,0,0
2,2/12/2019,Hubei,Wuhan,1,0,0,0
3,3/12/2019,Hubei,Wuhan,1,0,0,0
4,4/12/2019,Hubei,Wuhan,1,0,0,0
5,5/12/2019,Hubei,Wuhan,1,0,0,0
6,6/12/2019,Hubei,Wuhan,1,0,0,0
7,7/12/2019,Hubei,Wuhan,1,0,0,0
8,8/12/2019,Hubei,Wuhan,1,0,0,0
9,9/12/2019,Hubei,Wuhan,1,0,0,0
10,10/12/2019,Hubei,Wuhan,1,0,0,0
11,11/12/2019,Hubei,Wuhan,4,0,0,0
12,12/12/2019,Hubei,Wuhan,4,0,0,0
13,13/12/2019,Hubei,Wuhan,4,0,0,0
14,14/12/2019,Hubei,Wuhan,4,0,0,0
15,15/12/2019,Hubei,Wuhan,6,0,0,0
16,16/12/2019,Hubei,Wuhan,6,0,0,0
17,17/12/2019,Hubei,Wuhan,7,0,0,0
18,18/12/2019,Hubei,Wuhan,8,0,0,0
19,19/12/2019,Hubei,Wuhan,9,0,0,0
20,20/12/2019,Hubei,Wuhan,14,0,0,0
21,21/12/2019,Hubei,Wuhan,18,0,0,0
22,22/12/2019,Hubei,Wuhan,21,0,0,0
23,23/12/2019,Hubei,Wuhan,29,0,0,0
24,24/12/2019,Hubei,Wuhan,30,0,0,0
25,25/12/2019,Hubei,Wuhan,33,0,0,0
26,26/12/2019,Hubei,Wuhan,35,0,0,0
27,27/12/2019,Hubei,Wuhan,37,0,0,0
28,28/12/2019,Hubei,Wuhan,37,0,0,0
29,29/12/2019,Hubei,Wuhan,37,0,0,0
30,30/12/2019,Hubei,Wuhan,37,0,0,0
31,31/12/2019,Hubei,Wuhan,40,0,0,0
32,1/1/2020,Hubei,Wuhan,43,0,0,0
33,2/1/2020,Hubei,Wuhan,44,0,0,0
34,3/1/2020,Hubei,Wuhan,44,0,0,0
35,4/1/2020,Hubei,Wuhan,44,0,0,0
36,5/1/2020,Hubei,Wuhan,44,0,0,0
37,6/1/2020,Hubei,Wuhan,44,0,0,0
38,7/1/2020,Hubei,Wuhan,44,0,0,0
39,8/1/2020,Hubei,Wuhan,44,0,0,0
40,9/1/2020,Hubei,Wuhan,44,0,0,0
41,10/1/2020,Hubei,Wuhan,44,2,1,0
42,11/1/2020,Hubei,Wuhan,44,6,1,0
43,12/1/2020,Hubei,Wuhan,44,7,1,0
44,13/1/2020,Hubei,Wuhan,44,7,1,0
45,14/1/2020,Hubei,Wuhan,44,7,1,0
46,15/1/2020,Hubei,Wuhan,44,12,2,0
47,16/1/2020,Hubei,Wuhan,45,15,2,0
48,17/1/2020,Hubei,Wuhan,62,19,2,0
49,18/1/2020,Hubei,Wuhan,121,24,3,0
50,19/1/2020,Guangdong,Shenzhen,1,0,0,0
51,19/1/2020,Hubei,Wuhan,198,25,3,0
52,20/1/2020,Shanghai,Shanghai,1,0,0,0
53,20/1/2020,Shanghai,Foreign to Shanghai,1,0,0,0
54,20/1/2020,Beijing,Beijing,5,0,0,0
55,20/1/2020,Guangdong,Shenzhen,9,0,0,0
56,20/1/2020,Guangdong,Zhuhai,3,0,0,0
57,20/1/2020,Guangdong,Zhanjiang,1,0,0,0
58,20/1/2020,Guangdong,Huizhou,1,0,0,0
59,20/1/2020,Hubei,Wuhan,258,25,6,0
60,20/1/2020,Hubei,Huanggang,12,0,0,0
61,21/1/2020,Sichuan,Chengdu,1,0,0,3
62,21/1/2020,Sichuan,Mianyang,0,0,0,2
63,21/1/2020,Anhui,Hefei,0,0,0,1
64,21/1/2020,Guizhou,Guiyang,0,0,0,1
65,21/1/2020,Heilongjiang,Mudanjiang,0,0,0,1
66,21/1/2020,Beijing,Foreign to Beijing,1,0,0,0
67,21/1/2020,Beijing,Xicheng,1,0,0,0
68,21/1/2020,Beijing,Fengtai,1,0,0,0
69,21/1/2020,Beijing,Haidian,2,0,0,0
70,21/1/2020,Beijing,Tongzhou,1,0,0,0
71,21/1/2020,Beijing,Changping,2,0,0,0
72,21/1/2020,Beijing,Daxing,2,0,0,0
73,21/1/2020,Sichuan,Guang'an,1,0,0,0
74,21/1/2020,Shandong,Qingdao,1,0,0,0
75,21/1/2020,Guangdong,Guangzhou,2,0,0,0
76,21/1/2020,Guangdong,Shaoguan,2,0,0,0
77,21/1/2020,Guangdong,Shenzhen,14,0,0,0
78,21/1/2020,Guangdong,Zhuhai,4,0,0,0
79,21/1/2020,Guangdong,Foshan,1,0,0,0
80,21/1/2020,Guangdong,Zhanjiang,2,0,0,0
81,21/1/2020,Guangdong,Huizhou,1,0,0,0
82,21/1/2020,Jiangxi,Pingxiang,1,0,0,0
83,21/1/2020,Jiangxi,Fuzhou,1,0,0,0
84,21/1/2020,Henan,Zhengzhou,1,0,0,0
85,21/1/2020,Zhejiang,Hangzhou,1,0,0,0
86,21/1/2020,Zhejiang,Wenzhou,2,0,0,0
87,21/1/2020,Zhejiang,Zhoushan,1,0,0,0
88,21/1/2020,Zhejiang,Taizhou,1,0,0,0
89,21/1/2020,Hubei,Wuhan,365,25,9,0
90,21/1/2020,Hunan,Changsha,1,0,0,0
91,21/1/2020,Chongqing,Wanzhou District,2,0,0,0
92,21/1/2020,Chongqing,Changshou District,1,0,0,0
93,21/1/2020,Chongqing,Wushan County,2,0,0,0
94,22/1/2020,Hainan,Haikou,1,0,0,10
95,22/1/2020,Hainan,Sanya,2,0,0,8
96,22/1/2020,Anhui,Hefei,1,0,0,3
97,22/1/2020,Hainan,Danzhou,0,0,0,3
98,22/1/2020,Sichuan,Chengdu,2,0,0,2
99,22/1/2020,Hainan,Wuzhishan,0,0,0,2
100,22/1/2020,Hainan,Lingao County,1,0,0,2
101,22/1/2020,Hainan,Changjiang County,0,0,0,2
102,22/1/2020,Anhui,Lu'an,0,0,0,1
103,22/1/2020,Guangxi,Liuzhou,0,0,0,1
104,22/1/2020,Hainan,Qionghai,0,0,0,1
105,22/1/2020,Hainan,Wenchang,0,0,0,1
106,22/1/2020,Hainan,Wanning,1,0,0,1
107,22/1/2020,Hainan,Dongfang,0,0,0,1
108,22/1/2020,Hainan,Qiongzhong County,0,0,0,1
109,22/1/2020,Beijing,Foreign to Beijing,2,0,0,0
110,22/1/2020,Beijing,Xicheng,2,0,0,0
111,22/1/2020,Beijing,Chaoyang,1,0,0,0
112,22/1/2020,Beijing,Fengtai,1,0,0,0
113,22/1/2020,Beijing,Shijingshan,1,0,0,0
114,22/1/2020,Beijing,Haidian,2,0,0,0
115,22/1/2020,Beijing,Tongzhou,1,0,0,0
116,22/1/2020,Beijing,Changping,2,0,0,0
117,22/1/2020,Beijing,Daxing,2,0,0,0
118,22/1/2020,Jilin,Changchun,1,0,0,0
119,22/1/2020,Sichuan,Mianyang,2,0,0,0
120,22/1/2020,Sichuan,Guang'an,1,0,0,0
121,22/1/2020,Ningxia,Yinchuan,1,0,0,0
122,22/1/2020,Shandong,Qingdao,3,0,0,0
123,22/1/2020,Shandong,Weihai,1,0,0,0
124,22/1/2020,Shandong,Linyi,2,0,0,0
125,22/1/2020,Shanxi,Taiyuan,1,0,0,0
126,22/1/2020,Guangdong,Guangzhou,5,0,0,0
127,22/1/2020,Guangdong,Shaoguan,2,0,0,0
128,22/1/2020,Guangdong,Shenzhen,15,0,0,0
129,22/1/2020,Guangdong,Zhuhai,4,0,0,0
130,22/1/2020,Guangdong,Foshan,1,0,0,0
131,22/1/2020,Guangdong,Zhanjiang,2,0,0,0
132,22/1/2020,Guangdong,Zhaoqing,1,0,0,0
133,22/1/2020,Guangdong,Huizhou,1,0,0,0
134,22/1/2020,Guangdong,Zhongshan,1,0,0,0
135,22/1/2020,Guangxi,Wuzhou,1,0,0,0
136,22/1/2020,Guangxi,Beihai,1,0,0,0
137,22/1/2020,Jiangsu,Suzhou,1,0,0,0
138,22/1/2020,Jiangxi,Nanchang,1,0,0,0
139,22/1/2020,Jiangxi,Pingxiang,1,0,0,0
140,22/1/2020,Jiangxi,Fuzhou,1,0,0,0
141,22/1/2020,Hebei,Shijiazhuang,1,0,0,0
142,22/1/2020,Henan,Zhengzhou,2,0,0,0
143,22/1/2020,Henan,Gongyi,1,0,0,0
144,22/1/2020,Henan,Luoyang,1,0,0,0
145,22/1/2020,Henan,Sanmenxia,1,0,0,0
146,22/1/2020,Zhejiang,Hangzhou,1,0,0,0
147,22/1/2020,Zhejiang,Ningbo,3,0,0,0
148,22/1/2020,Zhejiang,Wenzhou,4,0,0,0
149,22/1/2020,Zhejiang,Zhoushan,1,0,0,0
150,22/1/2020,Zhejiang,Taizhou,1,0,0,0
151,22/1/2020,Hubei,Wuhan,425,28,17,0
152,22/1/2020,Hubei,Huanggang,12,0,0,0
153,22/1/2020,Hubei,Jingzhou,6,0,0,0
154,22/1/2020,Hubei,Jingmen,1,0,0,0
155,22/1/2020,Hunan,Changsha,1,0,0,0
156,22/1/2020,Hunan,Huaihua,3,0,0,0
157,22/1/2020,Fujian,Fuzhou,1,0,0,0
158,22/1/2020,Guizhou,Guiyang,1,0,0,0
159,22/1/2020,Guizhou,Tongren,1,0,0,0
160,22/1/2020,Guizhou,Qiannan Prefecture,1,0,0,0
161,22/1/2020,Liaoning,Shenyang,1,0,0,0
162,22/1/2020,Liaoning,Dalian,1,0,0,0
163,22/1/2020,Chongqing,Wanzhou District,2,0,0,0
164,22/1/2020,Chongqing,Fuling District,1,0,0,0
165,22/1/2020,Chongqing,Changshou District,1,0,0,0
166,22/1/2020,Chongqing,Yongchuan District,2,0,0,0
167,22/1/2020,Chongqing,Dianjiang County,1,0,0,0
168,22/1/2020,Chongqing,Wushan County,2,0,0,0
169,22/1/2020,Shaanxi,Xi'an,2,0,0,0
170,22/1/2020,Shaanxi,Xianyang,1,0,0,0
171,22/1/2020,Shaanxi,Yan'an,1,0,0,0
172,22/1/2020,Heilongjiang,Mudanjiang,1,0,0,0
173,23/1/2020,Inner Mongolia,Xilingol League,0,0,0,2
174,23/1/2020,Gansu,Baiyin,0,0,0,1
175,23/1/2020,Yunnan,Kunming,2,0,0,0
176,23/1/2020,Inner Mongolia,Hulunbuir,1,0,0,0
177,23/1/2020,Beijing,Foreign to Beijing,6,0,0,0
178,23/1/2020,Beijing,Xicheng,3,0,0,0
179,23/1/2020,Beijing,Chaoyang,2,0,0,0
180,23/1/2020,Beijing,Fengtai,1,0,0,0
181,23/1/2020,Beijing,Shijingshan,1,0,0,0
182,23/1/2020,Beijing,Haidian,3,0,0,0
183,23/1/2020,Beijing,Tongzhou,2,0,0,0
184,23/1/2020,Beijing,Changping,2,0,0,0
185,23/1/2020,Beijing,Daxing,2,0,0,0
186,23/1/2020,Jilin,Changchun,1,0,0,0
187,23/1/2020,Jilin,Jilin,1,0,0,0
188,23/1/2020,Jilin,Songyuan,1,0,0,0
189,23/1/2020,Sichuan,Chengdu,7,0,0,0
190,23/1/2020,Sichuan,Deyang,1,0,0,0
191,23/1/2020,Sichuan,Mianyang,2,0,0,0
192,23/1/2020,Sichuan,Suining,1,0,0,0
193,23/1/2020,Sichuan,Guang'an,2,0,0,0
194,23/1/2020,Sichuan,Dazhou,1,0,0,0
195,23/1/2020,Sichuan,Ya'an,1,0,0,0
196,23/1/2020,Ningxia,Yinchuan,1,0,0,0
197,23/1/2020,Ningxia,Zhongwei,1,0,0,0
198,23/1/2020,Anhui,Hefei,6,0,0,0
199,23/1/2020,Anhui,Bengbu,1,0,0,0
200,23/1/2020,Anhui,Anqing,1,0,0,0
201,23/1/2020,Anhui,Chuzhou,1,0,0,0
202,23/1/2020,Anhui,Fuyang,2,0,0,0
203,23/1/2020,Anhui,Lu'an,2,0,0,0
204,23/1/2020,Anhui,Bozhou,1,0,0,0
205,23/1/2020,Anhui,Chizhou,1,0,0,0
206,23/1/2020,Shandong,Qingdao,3,0,0,0
207,23/1/2020,Shandong,Weifang,1,0,0,0
208,23/1/2020,Shandong,Weihai,2,0,0,0
209,23/1/2020,Shandong,Rizhao,1,0,0,0
210,23/1/2020,Shandong,Linyi,2,0,0,0
211,23/1/2020,Shanxi,Taiyuan,1,0,0,0
212,23/1/2020,Guangdong,Guangzhou,7,0,0,0
213,23/1/2020,Guangdong,Shaoguan,3,0,0,0
214,23/1/2020,Guangdong,Shenzhen,15,2,0,0
215,23/1/2020,Guangdong,Zhuhai,8,0,0,0
216,23/1/2020,Guangdong,Foshan,6,0,0,0
217,23/1/2020,Guangdong,Zhanjiang,2,0,0,0
218,23/1/2020,Guangdong,Zhaoqing,1,0,0,0
219,23/1/2020,Guangdong,Huizhou,5,0,0,0
220,23/1/2020,Guangdong,Yangjiang,3,0,0,0
221,23/1/2020,Guangdong,Qingyuan,1,0,0,0
222,23/1/2020,Guangdong,Zhongshan,2,0,0,0
223,23/1/2020,Guangxi,Liuzhou,2,0,0,0
224,23/1/2020,Guangxi,Guilin,2,0,0,0
225,23/1/2020,Guangxi,Wuzhou,1,0,0,0
226,23/1/2020,Guangxi,Beihai,6,0,0,0
227,23/1/2020,Guangxi,Baise,1,0,0,0
228,23/1/2020,Guangxi,Hechi,1,0,0,0
229,23/1/2020,Xinjiang,ÜrümqiÜrümqi,2,0,0,0
230,23/1/2020,Jiangsu,Nanjing,3,0,0,0
231,23/1/2020,Jiangsu,Wuxi,1,0,0,0
